"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 21 11:51:45 GMT 2023","Tue Nov 21 11:51:56 GMT 2023","10591","tests","test_03_notifications","TestAddRemoveElements","","","TC 03.002 Success notification is displayed after click on 'Click here' button",""
"passed","Tue Nov 21 11:51:26 GMT 2023","Tue Nov 21 11:51:26 GMT 2023","348","tests","test_01_web_inputs","TestWebInputs","","","TC 01.003 User Is Able To Fill Text Input (pos)",""
"passed","Tue Nov 21 11:51:17 GMT 2023","Tue Nov 21 11:51:18 GMT 2023","387","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 11:51:32 GMT 2023","Tue Nov 21 11:51:43 GMT 2023","10596","tests","test_02_add_remove_elements","TestAddRemoveElements","","","TC 02.002 User Is Able To Add And Remove Elements",""
"passed","Tue Nov 21 11:51:24 GMT 2023","Tue Nov 21 11:51:24 GMT 2023","334","tests","test_01_web_inputs","TestWebInputs","","","TC 01.003 User Is Able To Fill Text Input (pos)",""
"passed","Tue Nov 21 11:51:28 GMT 2023","Tue Nov 21 11:51:29 GMT 2023","333","tests","test_01_web_inputs","TestWebInputs","","","TC 01.004 User Is Able To Fill Password Input (pos)",""
"passed","Tue Nov 21 11:51:31 GMT 2023","Tue Nov 21 11:51:31 GMT 2023","189","tests","test_02_add_remove_elements","TestAddRemoveElements","","","TC 02.001 User Is Able Open Add/Remove Elements Page",""
"passed","Tue Nov 21 11:51:30 GMT 2023","Tue Nov 21 11:51:30 GMT 2023","344","tests","test_01_web_inputs","TestWebInputs","","","TC 01.005 User Is Able To Fill Date Input (pos)","
        Acceptable format for Date: ""mm-dd-yyyy"" / ""mmddyyyy""
        "
"passed","Tue Nov 21 11:51:21 GMT 2023","Tue Nov 21 11:51:22 GMT 2023","328","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 11:51:19 GMT 2023","Tue Nov 21 11:51:19 GMT 2023","376","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 11:51:23 GMT 2023","Tue Nov 21 11:51:23 GMT 2023","334","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 11:51:27 GMT 2023","Tue Nov 21 11:51:27 GMT 2023","334","tests","test_01_web_inputs","TestWebInputs","","","TC 01.004 User Is Able To Fill Password Input (pos)",""
"passed","Tue Nov 21 11:51:20 GMT 2023","Tue Nov 21 11:51:20 GMT 2023","334","tests","test_01_web_inputs","TestWebInputs","","","TC 01.002 User Is Able To Fill Number Input (pos)",""
"passed","Tue Nov 21 11:51:16 GMT 2023","Tue Nov 21 11:51:16 GMT 2023","392","tests","test_01_web_inputs","TestWebInputs","","","TC 01.001 User Is Able To Open Web Inputs Page",""
"passed","Tue Nov 21 11:51:44 GMT 2023","Tue Nov 21 11:51:44 GMT 2023","204","tests","test_03_notifications","TestAddRemoveElements","","","TC 03.001 User Is Able Open Notifications Page",""
